Tm,HR,CS,BA,OBP,GDP,SF,WR,ERR,ERA,BB,TEAM
Kansas City Royals 2020,1.13,0.33,0.244,0.309,0.47,0.17,0.433,0.52,4.30,3.67,Kansas City Royals
Los Angeles Angels 2020,1.42,0.13,0.248,0.332,0.82,0.30,0.433,0.60,5.09,3.41,Los Angeles Angels
Los Angeles Dodgers 2020,1.90,0.12,0.256,0.338,0.69,0.21,0.718,0.63,3.11,2.60,Los Angeles Dodgers
Miami Marlins 2020,0.98,0.22,0.244,0.319,0.62,0.14,0.508,0.66,4.77,3.98,Miami Marlins
Milwaukee Brewers 2020,1.23,0.18,0.223,0.313,0.85,0.16,0.468,0.56,4.15,3.31,Milwaukee Brewers
Minnesota Twins 2020,1.47,0.13,0.242,0.315,0.63,0.23,0.581,0.34,3.52,3.02,Minnesota Twins
New York Mets 2020,1.43,0.17,0.272,0.348,0.88,0.22,0.433,0.53,4.98,3.84,New York Mets
New York Yankees 2020,1.66,0.10,0.247,0.342,0.82,0.25,0.552,0.76,4.41,3.11,New York Yankees
Oakland Athletics 2020,1.28,0.04,0.225,0.322,0.75,0.25,0.582,0.45,3.99,2.84,Oakland Athletics
Philadelphia Phillies 2020,1.37,0.13,0.257,0.342,0.67,0.17,0.467,0.60,5.14,3.35,Philadelphia Phillies
Pittsburgh Pirates 2020,0.98,0.18,0.220,0.284,0.57,0.25,0.317,0.78,4.68,4.37,Pittsburgh Pirates
San Diego Padres 2020,1.56,0.21,0.257,0.333,0.61,0.26,0.591,0.59,4.09,3.18,San Diego Padres
Seattle Mariners 2020,1.00,0.27,0.226,0.309,0.58,0.20,0.450,0.38,5.03,4.01,Seattle Mariners
San Francisco Giants 2020,1.35,0.13,0.263,0.335,0.85,0.22,0.483,0.70,4.64,3.65,San Francisco Giants
St. Louis Cardinals 2020,0.89,0.16,0.234,0.323,0.62,0.31,0.508,0.59,4.01,3.94,St. Louis Cardinals
Tampa Bay Rays 2020,1.43,0.18,0.238,0.328,0.60,0.20,0.638,0.46,3.67,3.15,Tampa Bay Rays
Texas Rangers 2020,1.03,0.23,0.217,0.285,0.55,0.30,0.367,0.67,5.02,4.11,Texas Rangers
Toronto Blue Jays 2020,1.45,0.10,0.255,0.325,0.65,0.24,0.516,0.66,4.58,4.24,Toronto Blue Jays
Washington Nationals 2020,1.10,0.20,0.264,0.336,0.70,0.35,0.433,0.62,5.09,3.86,Washington Nationals
Arizona Diamondbacks 2019,1.36,0.09,0.252,0.323,0.74,0.25,0.525,0.53,3.41,3.17,Arizona Diamondbacks
Atlanta Braves 2019,1.52,0.18,0.258,0.336,0.63,0.22,0.593,0.49,3.64,3.39,Atlanta Braves
Baltimore Orioles 2019,1.31,0.19,0.246,0.310,0.69,0.23,0.333,0.67,3.69,3.50,Baltimore Orioles
Boston Red Sox 2019,1.51,0.19,0.269,0.340,0.78,0.27,0.519,0.54,3.77,3.70,Boston Red Sox
Chicago Cubs 2019,1.58,0.15,0.252,0.331,0.78,0.24,0.519,0.73,3.80,3.33,Chicago Cubs
Chicago White Sox 2019,1.13,0.17,0.261,0.314,0.71,0.20,0.447,0.72,3.97,3.71,Chicago White Sox
Cincinnati Reds 2019,1.40,0.23,0.244,0.315,0.69,0.20,0.463,0.56,4.10,3.35,Cincinnati Reds
